Position,Player Name,Team Name,Nationality,Height,Weight,Age,Condition,Overall Rating

CF,A. DONIS,Free Agents,GREECE,178,77,22,C,75
RWF,JASON,ED BLUE BURGUNDY,SPAIN,178,65,24,C,75
LMF,T. BONGONDA,ZULTE-WAREGEM,BELGIUM,177,68,23,C,75
AMF,GONZALO MELERO,AR BURGUNDY BLUE,SPAIN,183,77,24,C,75
CF,G. KERK,UTRECHT,NETHERLANDS,175,68,23,C,75
RMF,O. BURKE,WEST MIDLANDS STRIPES,SCOTLAND,188,74,21,C,75
CMF,M. ROSSETTO,ATLÉTICO PR,BRAZIL,180,75,22,C,75
AMF,L. RODRÍGUEZ,ESTUDIANTES,ARGENTINA,168,64,21,C,75
CB,C. HÉRELLE,NICE,FRANCE,188,75,26,C,75
CMF,R. KRUNIĆ,EMPOLI,BOSNIA AND HERZEGOVINA,184,74,25,C,75
RWF,IVI,MD COBALT BLUE,SPAIN,184,75,23,C,75
CB,D. BIRASCHI,GENOA,ITALY,182,72,24,C,75
CB,BRUNO VIANNA,SPORTING BRAGA,BRAZIL,187,75,23,C,75
LWF,CLAYSON,CORINTHIANS,BRAZIL,166,59,23,C,75
CB,J. GELIN,RENNES,FRANCE,183,79,21,C,75
LB,A. SOTO,RACING CLUB,ARGENTINA,172,69,25,C,75
LWF,RAPHINHA,SPORTING CP,BRAZIL,176,68,22,C,75
CF,M. ŠKODA,SLAVIA PRAHA,CZECH REPUBLIC,190,86,32,C,75
CB,F. BENKOVIĆ,CELTIC,CROATIA,194,89,21,C,75
RB,PIERRE-GABRIEL,MONACO,FRANCE,177,76,20,C,75
CF,A. BESEDIN,DYNAMO KYIV,UKRAINE,185,76,22,C,75
CF,A. SØRLOTH,SOUTH NORWOOD,NORWAY,194,90,23,C,75
GK,S. BERTOLI,PATRONATO,ARGENTINA,185,81,41,C,75
CB,B. BIANCHI,ATLÉTICO TUCUMÁN,ARGENTINA,183,79,29,C,75
RWF,A. ZENELI,HEERENVEEN,KOSOVO,176,71,23,C,75
CB,M. SENESI,SAN LORENZO,ARGENTINA,180,80,21,C,75
CMF,CARLES ALEÑÀ,BARCELONA,SPAIN,180,73,20,C,75
CB,T. FOSU-MENSAH,WEST LONDON WHITE,NETHERLANDS,190,78,20,C,75
CF,K. REZAEI,CLUB BRUGGE,IRAN,185,80,26,C,75
RWF,A. CICIRETTI,PARMA,ITALY,170,68,25,C,75
RMF,O. KARAVAEV,Free Agents,UKRAINE,173,65,26,C,75
AMF,V. KOVALENKO,SHAKHTAR DONETSK,UKRAINE,182,75,22,C,75

GK,W. FARIÑEZ,MILLONARIOS,VENEZUELA,181,84,20,C,75
CB,S. INGASON,ROSTOV,ICELAND,188,83,25,C,75
LMF,R. SOBHI,WEST YORKSHIRE TOWN,EGYPT,183,75,21,C,75
DMF,IGOR ZUBELDÍA,PV BLUE WHITE,SPAIN,180,80,21,C,75
LB,A. SPORLE,BANFIELD,ARGENTINA,186,76,23,C,75
LWF,N. FERNÁNDEZ,DEFENSA Y JUSTICIA,ARGENTINA,165,66,22,C,75
CMF,C. HOURIHANE,WEST MIDLANDS VILLAGE,IRELAND,180,62,27,C,75
CF,T. ABRAHAM,WEST MIDLANDS VILLAGE,ENGLAND,190,80,21,C,75
RMF,S. TKACHEV,ARSENAL TULA,RUSSIA,183,77,29,C,75
GK,SIDÃO,SÃO PAULO,BRAZIL,189,88,36,C,75
LB,O. ZINCHENKO,MAN BLUE,UKRAINE,175,64,22,C,75
LWF,LUIZ ARAUJO,LILLE,BRAZIL,175,70,22,C,75
LB,B. DIBASSY,AMIENS SC,MALI,183,74,29,C,75
CB,C. SCHINDLER,WEST YORKSHIRE TOWN,GERMANY,189,82,28,C,75
LWF,M. TERRIER,OLYMPIQUE LYONNAIS,FRANCE,184,73,21,C,75
CF,I. SANTINI,ANDERLECHT,CROATIA,190,90,29,C,75
CMF,D. WARMERDAM,GRONINGEN,NETHERLANDS,180,73,23,C,75
DMF,H. MAÏGA,METZ,CÔTE D'IVOIRE,181,76,22,C,75
CB,A. FRANCO,INDEPENDIENTE,ARGENTINA,183,77,22,C,75
CMF,WENDEL,SPORTING CP,BRAZIL,175,72,21,C,75
RWF,N. MUBELE,TOULOUSE,CONGO DR,178,71,24,C,75
AMF,PAULINHO,PORTIMONENSE,BRAZIL,166,58,24,C,75
CMF,S. ARMSTRONG,HAMPSHIRE RED,SCOTLAND,183,75,26,C,75
CMF,C. PATERSON,SOUTH WALES,SCOTLAND,183,78,24,C,75
RMF,C. BASSOGOG,Free Agents,CAMEROON,178,58,23,C,75
RB,S. LAINER,Free Agents,AUSTRIA,175,70,26,C,75
CB,J. VUKOVIĆ,OLYMPIAKOS PIRAEUS,SERBIA,195,93,30,C,75
RMF,S. KALU,BORDEAUX,NIGERIA,176,74,21,C,75
GK,Y. MVOGO,Free Agents,SWITZERLAND,190,90,24,C,75
LWF,PAULINHO,BAYER LEVERKUSEN,BRAZIL,174,75,18,C,75
CMF,L. LERAGER,BORDEAUX,DENMARK,183,70,25,C,75
CMF,RICHARD,FLUMINENSE,BRAZIL,191,76,24,C,75

CB,M. WÖBER,AJAX,AUSTRIA,188,84,20,C,75
LMF,Y. ERDOĞAN,BURSASPOR,TURKEY,171,68,26,C,75
RWF,Ö. ŞAHINER,KONYASPOR,TURKEY,175,70,26,C,75
RWF,MAICON,ANTALYASPOR,BRAZIL,183,73,28,C,75
GK,A. SINITSYN,KRASNODAR,RUSSIA,196,85,30,C,75
LMF,F. KAINZ,Free Agents,AUSTRIA,175,71,26,C,75
CMF,X. SCHLAGER,Free Agents,AUSTRIA,174,75,21,C,75
CF,O. KAMARA,Free Agents,NORWAY,184,77,29,C,75
RWF,S. SKRZYBSKI,SCHALKE 04,GERMANY,173,64,26,C,75
GK,M. SCHWÄBE,BRØNDBY,GERMANY,188,90,23,C,75
CB,LUCAS MENDES,AL DUHAIL,BRAZIL,184,80,28,C,75
AMF,D. CONCA,SHANGHAI SIPG,ARGENTINA,167,58,35,C,75
AMF,LEE JAE-SUNG,JEONBUK HYUNDAI MOTORS,REPUBLIC OF KOREA,180,70,26,C,75
LWF,WU LEI,SHANGHAI SIPG,CHINA,174,66,27,C,75
CF,R. SANTA CRUZ,Free Agents,PARAGUAY,193,83,37,C,74
CB,P. DA SILVA,Free Agents,PARAGUAY,180,76,38,C,74
CB,E. MORETTI,TORINO,ITALY,182,80,37,C,74
CMF,D. TORBINSKI,YENISEY,RUSSIA,172,60,34,C,74
GK,J. VILLAR,Free Agents,PARAGUAY,180,85,41,C,74
LB,W. AYOVÍ,Free Agents,ECUADOR,175,81,39,C,74
CB,EDU DRACENA,PALMEIRAS,BRAZIL,187,81,37,C,74
CMF,J. PLAŠIL,BORDEAUX,CZECH REPUBLIC,182,72,36,C,74
CB,D. BONERA,ED YELLOW,ITALY,183,84,37,C,74
CB,F. COLOCCINI,SAN LORENZO,ARGENTINA,184,82,36,C,74
CF,S. PELLISSIER,CHIEVO,ITALY,175,76,39,C,74
CMF,D. PIZARRO,UNIVERSIDAD CHILE,CHILE,171,65,39,C,74
CMF,R. ROTAN,Free Agents,UKRAINE,174,67,37,C,74
CB,B. CESAR,CHIEVO,SLOVENIA,191,89,36,C,74
LB,J. VAN DAMME,ANTWERP,BELGIUM,194,87,35,C,74
LB,TIAGO GOMES,FEIRENSE,PORTUGAL,175,72,32,C,74
RB,A. FATHY,Free Agents,EGYPT,175,80,34,C,74
RB,P. ÁLVAREZ,HURACÁN,ARGENTINA,178,80,34,C,74

GK,B. JONES,Free Agents,AUSTRALIA,191,76,36,C,74
GK,N. PENNETEAU,SPORTING CHARLEROI,FRANCE,185,78,37,C,74
DMF,M. BODMER,AMIENS SC,FRANCE,190,90,36,C,74
CF,C. KEŞERÜ,Free Agents,ROMANIA,178,71,32,C,74
AMF,T. BARNETTA,ST. GALLEN,SWITZERLAND,178,70,33,C,74
GK,R. GREEN,LONDON FC,ENGLAND,187,93,38,C,74
CB,C. KUM,VVV,NETHERLANDS,183,71,33,C,74
GK,N. DOUCHEZ,RED STAR,FRANCE,185,85,38,C,74
AMF,G. FERNÁNDEZ,ESTUDIANTES,ARGENTINA,170,68,35,C,74
CMF,J. VALDÉS,COLO-COLO,CHILE,175,74,37,C,74
LB,M. GOBBI,PARMA,ITALY,182,76,38,C,74
GK,S. VIERA,JUNIOR,URUGUAY,185,82,35,D,74
GK,A. BORUC,EAST DORSETSHIRE,POLAND,193,87,38,C,74
CMF,Y. KOBAYASHI,HEERENVEEN,JAPAN,182,72,26,C,74
CMF,G. SHIBASAKI,MD COBALT BLUE,JAPAN,175,64,26,C,74
CB,J. SORBON,GUINGAMP,FRANCE,183,79,35,C,74
CB,D. CHYGRYNSKIY,AEK ATHENS,UKRAINE,190,81,32,C,74
CF,M. ROSENBERG,MALMÖ FF,SWEDEN,184,82,36,C,74
CF,S. OKAKA,HERTFORDSHIRE,ITALY,186,82,29,C,74
CB,A. RAGGI,MONACO,ITALY,187,82,34,C,74
CF,D. MURPHY,NOTTS REDS,IRELAND,191,88,35,C,74
CB,M. COMPPER,CELTIC,GERMANY,185,80,33,C,74
GK,J. RUDDY,WM GOLD,ENGLAND,193,96,32,C,74
CB,VASCO FERNANDES,VITÓRIA SETÚBAL,PORTUGAL,182,76,32,C,74
LB,M. PASQUAL,EMPOLI,ITALY,178,71,36,C,74
RWF,R. BEERENS,VITESSE,NETHERLANDS,173,63,31,C,74
RWF,S. ALUKO,BERKSHIRE BLUES,NIGERIA,173,72,29,C,74
RWF,S. GAKPÉ,CERCLE BRUGGE,TOGO,177,79,31,C,74
LWF,A. MOUNIER,PANATHINAIKOS,FRANCE,174,65,31,C,74
AMF,RAFINHA,CRUZEIRO,BRAZIL,167,67,35,C,74
CB,T. MYKHALYK,LOKOMOTIV MOSKVA,UKRAINE,184,83,35,C,74
CF,S. FLOCCARI,SPAL,ITALY,181,81,37,C,74

GK,V. MANNONE,BERKSHIRE BLUES,ITALY,188,77,30,C,74
LMF,HÉLDER BARBOSA,AKHİSARSPOR,PORTUGAL,172,67,31,C,74
LB,M. OLSSON,WEST GLAMORGAN CITY,SWEDEN,178,81,30,C,74
CMF,B. DŽEMAILI,BOLOGNA,SWITZERLAND,179,73,32,C,74
DMF,J. MARVEAUX,GAZÉLEC AJACCIO,FRANCE,179,72,36,C,74
CB,M. DA COSTA,İSTANBUL BAŞAKŞEHİR,MOROCCO,190,78,32,C,74
RB,R. DANZÉ,RENNES,FRANCE,184,73,32,C,74
CF,J. KEMBO-EKOKO,BURSASPOR,FRANCE,178,80,30,C,74
SS,RAFAEL SÓBIS,CRUZEIRO,BRAZIL,175,78,33,B,74
CF,L. RÉMY,LILLE,FRANCE,184,78,31,C,74
DMF,C. CHANTÔME,RED STAR,FRANCE,180,71,31,C,74
RB,V. TOROSIDIS,OLYMPIAKOS PIRAEUS,GREECE,185,80,33,C,74
LMF,S. TSHABALALA,BB ERZURUMSPOR,SOUTH AFRICA,170,72,34,C,74
CMF,A. GAŢCAN,ROSTOV,MOLDOVA,186,79,34,C,74
LWF,N. DIMITROV,URAL,BULGARIA,175,72,31,C,74
GK,S. RYZHIKOV,KRYLYA SOVETOV,RUSSIA,192,92,38,C,74
CF,T. HEMED,NORTH WEST LONDON,ISRAEL,186,80,31,C,74
CF,E. CALAIÒ,PARMA,ITALY,179,75,36,C,74
AMF,V. STOCKER,BASEL,SWITZERLAND,179,73,29,C,74
CF,D. N'DOYE,KØBENHAVN,SENEGAL,186,81,33,C,74
CMF,R. KOOLWIJK,EXCELSIOR,NETHERLANDS,195,76,33,C,74
DMF,F. LEMOINE,LORIENT,FRANCE,175,72,31,C,74
AMF,H. SAIVET,BURSASPOR,SENEGAL,175,73,28,C,74
CB,A. WEBER,BREST,FRANCE,190,82,31,C,74
CF,A. MATRI,SASSUOLO,ITALY,183,80,34,C,74
CMF,S. PADOIN,CAGLIARI,ITALY,179,74,34,C,74
DMF,HENRIQUE,CRUZEIRO,BRAZIL,180,75,33,C,74
CF,A. PALOSCHI,SPAL,ITALY,182,82,28,C,74
GK,N. NAVARRO,SAN LORENZO,ARGENTINA,191,92,33,C,74
GK,A. FERNÁNDEZ,ED YELLOW,SPAIN,184,83,32,C,74
CF,S. PRIVAT,VALENCIENNES,FRANCE,187,88,29,C,74
DMF,M. VEJINOVIC,AZ,NETHERLANDS,186,76,28,C,74

CMF,A. GUNNARSSON,SOUTH WALES,ICELAND,177,70,29,C,74
CMF,CLAUDEMIR,SPORTING BRAGA,BRAZIL,185,72,30,C,74
DMF,P. TACHTSIDIS,NOTTS REDS,GREECE,191,86,27,C,74
GK,J. GARCÍA,RACING CLUB,ARGENTINA,181,75,31,C,74
SS,P. MOUCHE,SAN LORENZO,ARGENTINA,177,73,31,C,74
LB,N. ASARE,GENT,GHANA,175,66,32,C,74
CMF,A. RAMÍREZ,ATLÉTICO NACIONAL,COLOMBIA,175,76,37,C,74
CF,M. MARTINS,Free Agents,BOLIVIA,187,82,31,C,74
LWF,B. RUIZ,Free Agents,COSTA RICA,188,80,33,C,74
LB,E. IZAGUIRRE,CELTIC,HONDURAS,177,73,32,C,74
CF,EDINHO,FEIRENSE,PORTUGAL,182,74,36,C,74
RWF,F. NARSINGH,DE GRAAFSCHAP,NETHERLANDS,175,74,30,C,74
CB,R. SHOTTON,TEESSIDE,ENGLAND,189,85,30,C,74
CB,J. KANA-BIYIK,KAYSERİSPOR,CAMEROON,184,86,29,C,74
CF,B. STANCU,BURSASPOR,ROMANIA,183,75,31,C,74
CMF,J. ORTIZ,TIGRE,ARGENTINA,180,70,34,C,74
GK,E. ROOM,PSV,CURAÇAO,188,81,29,C,74
CB,DANIEL CARRIÇO,AN WHITE RED,PORTUGAL,182,79,30,C,74
CB,CHICO FLORES,RUBIN KAZAN,SPAIN,187,82,31,C,74
CB,HENRIQUE,CORINTHIANS,BRAZIL,185,79,32,C,74
LMF,M. ESTIGARRIBIA,COLÓN,PARAGUAY,181,70,31,C,74
CB,T.KOLODZIEJCZAK,SAINT-ÉTIENNE,FRANCE,185,75,27,C,74
CB,T. KÁDÁR,DYNAMO KYIV,HUNGARY,188,85,28,C,74
RB,J. PIED,LILLE,FRANCE,173,69,29,C,74
RB,M. LUSTIG,CELTIC,SWEDEN,190,78,32,C,74
LB,DÍDAC VILÁ,CT BLUE WHITE,SPAIN,185,74,29,C,74
CB,L. ARIAUDO,FROSINONE,ITALY,187,71,29,C,74
AMF,E. BICFALVI,URAL,ROMANIA,187,89,30,C,74
CF,O. TOIVONEN,Free Agents,SWEDEN,192,78,32,C,74
GK,EDUARDO,VITESSE,PORTUGAL,187,88,36,C,74
CF,RUI FONTE,LILLE,PORTUGAL,181,74,28,C,74
DMF,R. KRHIN,NANTES,SLOVENIA,189,80,28,C,74

CMF,M. ABEID,DIJON,ALGERIA,178,77,26,C,74
CMF,A. COSTA,SAN MARTÍN TUCUMÁN,ARGENTINA,176,75,33,C,74
RWF,G. TORJE,SİVASSPOR,ROMANIA,167,64,29,C,74
RB,M. JOHANSSON,PANATHINAIKOS,SWEDEN,171,64,26,C,74
LB,P. ARMERO,AMÉRICA DE CALI,COLOMBIA,174,73,32,D,74
RB,R. ROSALES,CT BLUE WHITE,VENEZUELA,174,67,30,C,74
CB,T. REGINIUSSEN,Free Agents,NORWAY,185,80,32,C,74
GK,C. LAMPE,BOCA JUNIORS,BOLIVIA,192,85,31,C,74
CF,M. LEYE,ROYAL EXCEL MOUSCRON,SENEGAL,183,78,36,C,74
LB,I. OBRADOVIĆ,ANDERLECHT,SERBIA,181,74,30,C,74
LB,TIAGO PINTO,ANKARAGÜCÜ,PORTUGAL,177,67,30,C,74
AMF,Ö. HURMACI,BB ERZURUMSPOR,TURKEY,176,70,32,C,74
CB,K. BARTLEY,WEST MIDLANDS STRIPES,ENGLAND,185,76,27,C,74
CB,M. SAUNIER,LORIENT,FRANCE,182,73,28,C,74
AMF,A. BARRADA,ANTALYASPOR,MOROCCO,179,73,29,C,74
CB,RODERICK,OLYMPIAKOS PIRAEUS,PORTUGAL,194,87,27,C,74
CF,NÉLSON OLIVEIRA,NORFOLK CITY,PORTUGAL,186,82,27,C,74
GK,S. PESYAKOV,ROSTOV,RUSSIA,198,90,30,C,74
DMF,H. BERNARDELLO,NEWELL'S OLD BOYS,ARGENTINA,174,75,32,C,74
AMF,J. ANANIDZE,SPARTAK MOSKVA,GEORGIA,170,61,26,C,74
CB,D. GRIGORE,Free Agents,ROMANIA,185,76,32,C,74
GK,F. BARDI,FROSINONE,ITALY,188,83,26,C,74
RWF,DJALMA,ALANYASPOR,ANGOLA,175,75,31,C,74
DMF,F. OLIJVE,DE GRAAFSCHAP,NETHERLANDS,180,80,29,C,74
AMF,F. ĐURIČIĆ,SASSUOLO,SERBIA,181,72,26,C,74
CB,P. ARAJUURI,BRØNDBY,FINLAND,192,91,30,C,74
AMF,RÚBEN MICAEL,VITÓRIA SETÚBAL,PORTUGAL,176,69,32,C,74
CB,D. BOYATA,CELTIC,BELGIUM,188,84,28,C,74
LWF,M. LESTIENNE,STANDARD LIÈGE,BELGIUM,176,63,26,C,74
RB,JAVI LÓPEZ,CT BLUE WHITE,SPAIN,180,76,32,C,74
LB,P. SOUARÉ,SOUTH NORWOOD,SENEGAL,178,69,28,C,74
CF,H. SEFEROVIĆ,BENFICA,SWITZERLAND,185,85,26,C,74

CF,SUK HYUN-JUN,STADE DE REIMS,REPUBLIC OF KOREA,191,84,27,C,74
AMF,S. RIEKS,MALMÖ FF,DENMARK,184,74,31,C,74
CMF,R. BRAÑA,ESTUDIANTES,ARGENTINA,167,71,39,C,74
AMF,M. NÚÑEZ,ATLÉTICO BUCARAMANGA,ARGENTINA,168,65,32,C,74
GK,RAFAEL,CRUZEIRO,BRAZIL,192,84,29,D,74
RB,JEAN,PALMEIRAS,BRAZIL,170,64,32,C,74
AMF,M. FÓRMICA,NEWELL'S OLD BOYS,ARGENTINA,178,67,30,C,74
CB,G. TZAVELLAS,ALANYASPOR,GREECE,183,72,31,C,74
DMF,F. SILVA,INDEPENDIENTE,CHILE,178,80,32,C,74
CB,C. QUINTANA,TALLERES CÓRDOBA,ARGENTINA,191,88,30,C,74
CB,M. DOS SANTOS,MD BLUE WHITE,ARGENTINA,180,76,29,C,74
GK,L. BURIÁN,COLÓN,URUGUAY,188,81,34,C,74
DMF,F. PÍRIZ,MONTPELLIER,URUGUAY,178,74,28,C,74
DMF,J. CAZULO,SPORTING CRISTAL,URUGUAY,173,74,36,C,74
LB,M. ABERO,ATLÉTICO TUCUMÁN,URUGUAY,184,81,28,C,74
CF,M. KANUNNIKOV,KRYLYA SOVETOV,RUSSIA,183,74,27,C,74
CF,R. OVELAR,MILLONARIOS,PARAGUAY,180,82,33,C,74
AMF,P. HURTADO,KONYASPOR,PERU,176,72,28,C,74
RB,I. PIRIS,NEWELL'S OLD BOYS,PARAGUAY,172,68,29,C,74
RMF,V. AYALA,GIMNASIA LA PLATA,PARAGUAY,177,70,30,C,74
CF,E. VALENCIA,Free Agents,ECUADOR,174,74,29,C,74
RWF,UKRA,SANTA CLARA,PORTUGAL,176,70,30,C,74
CMF,A. ZOTOV,YENISEY,RUSSIA,178,70,28,C,74
RWF,GUILHERME,YENİ MALATYASPOR,BRAZIL,174,70,27,C,74
GK,JOEL ROBLES,AN GREEN WHITE,SPAIN,195,90,28,C,74
CF,BORJA BASTÓN,PV SKY BLUE WHITE,SPAIN,186,83,26,C,74
LB,N. BOILESEN,KØBENHAVN,DENMARK,186,73,26,C,74
AMF,A. MAHER,AZ,NETHERLANDS,175,76,25,C,74
CB,R. BENGTSSON,MALMÖ FF,SWEDEN,186,80,32,C,74
CF,G. HOOPER,SOUTH YORKSHIRE BLUES,ENGLAND,177,71,30,C,74
CB,L. KONÉ,STRASBOURG,CÔTE D'IVOIRE,189,90,29,C,74
CB,S. KRIVTSOV,SHAKHTAR DONETSK,UKRAINE,186,80,27,C,74

LWF,M. D'ALESSANDRO,UDINESE,ITALY,173,65,27,C,74
CMF,F. ZUCULINI,COLÓN,ARGENTINA,176,68,28,C,74
RB,J. TAVERNIER,RANGERS,ENGLAND,175,81,27,C,74
CB,G. BURDISSO,INDEPENDIENTE,ARGENTINA,187,86,30,C,74
LWF,BRUNO CÉSAR,SPORTING CP,BRAZIL,178,83,30,C,74
CB,M. CARUZZO,ROSARIO CENTRAL,ARGENTINA,185,75,34,C,74
CB,C. IZQUIERDOZ,BOCA JUNIORS,ARGENTINA,185,86,30,C,74
LWF,F. MARTÍNEZ,Free Agents,ECUADOR,179,74,28,C,74
RB,L. CAVANDA,STANDARD LIÈGE,BELGIUM,180,76,27,C,74
AMF,A. REGATTIN,AKHİSARSPOR,FRANCE,168,66,27,C,74
CMF,A. ACQUAH,EMPOLI,GHANA,179,70,26,C,74
DMF,L. DESÁBATO,VASCO DA GAMA,ARGENTINA,178,76,28,C,74
CMF,Y. KURTULUŞ,ANTALYASPOR,TURKEY,173,68,33,C,74
RWF,G. SUNU,BB ERZURUMSPOR,FRANCE,181,83,27,C,74
CMF,RECIO,MD BLUE WHITE,SPAIN,183,74,27,C,74
CMF,D. PAVELKA,KASIMPAŞA,CZECH REPUBLIC,185,74,27,C,74
RB,M. DOHERTY,WM GOLD,IRELAND,183,90,26,C,74
AMF,RUBÉN ROCHINA,ED BLUE BURGUNDY,SPAIN,182,76,27,C,74
AMF,T. BRUNS,VITESSE,NETHERLANDS,177,69,26,C,74
RWF,F. BORDAGARAY,DEFENSA Y JUSTICIA,ARGENTINA,173,68,31,C,74
CB,U. ĆOSIĆ,AEK ATHENS,SERBIA,187,76,26,C,74
CMF,J. PUNCHEON,SOUTH NORWOOD,ENGLAND,173,70,32,C,74
DMF,E. KAÇE,PANATHINAIKOS,ALBANIA,170,62,25,C,74
RMF,T. TORUN,BURSASPOR,TURKEY,176,75,28,C,74
CMF,C. CARBONERO,DEPORTIVO CALI,COLOMBIA,179,73,28,C,74
CB,M. YUMLU,AKHİSARSPOR,TURKEY,191,77,31,C,74
RB,K. NABABKIN,CSKA MOSKVA,RUSSIA,184,77,32,C,74
CMF,M. BOGADO,HURACÁN,ARGENTINA,170,68,33,C,74
GK,S. TORRICO,SAN LORENZO,ARGENTINA,183,83,38,C,74
CB,M. MARTÍNEZ,BELGRANO,ARGENTINA,187,85,34,C,74
CB,I. CANUTO,TIGRE,ARGENTINA,182,82,32,C,74
RB,E. ALBÍN,SAN MARTÍN TUCUMÁN,URUGUAY,175,69,29,C,74

CF,M. GUEVGEOZIÁN,GIMNASIA LA PLATA,ARMENIA,182,79,32,C,74
RWF,J. CUEVAS,EVERTON,ARGENTINA,162,61,30,C,74
GK,RAFAEL,SAMPDORIA,BRAZIL,186,83,28,C,74
CB,YOHAN TAVARES,TROYES,PORTUGAL,188,83,30,C,74
CMF,SÉRGIO OLIVEIRA,PORTO,PORTUGAL,181,73,26,C,74
CB,ANDRÉ PINTO,SPORTING CP,PORTUGAL,194,88,29,C,74
CMF,TARANTINI,RIO AVE,PORTUGAL,188,82,35,C,74
CMF,ZECA,KØBENHAVN,GREECE,182,67,30,C,74
CB,L. GALEANO,ALDOSIVI,ARGENTINA,184,84,27,C,74
CF,J. VOSSEN,CLUB BRUGGE,BELGIUM,180,70,29,C,74
LB,M. SHAFY,Free Agents,EGYPT,175,71,33,C,74
RB,TITO,MD SCARLET WHITE,SPAIN,174,67,33,C,74
CF,C. MANDANNE,CHÂTEAUROUX,FRANCE,172,70,33,C,74
AMF,B. CORGNET,STRASBOURG,FRANCE,180,74,31,C,74
RMF,RODRIGO GALO,AEK ATHENS,BRAZIL,174,70,32,C,74
RMF,N. DYER,WEST GLAMORGAN CITY,ENGLAND,165,60,31,C,74
CF,C. WICKHAM,SOUTH NORWOOD,ENGLAND,191,90,25,C,74
CF,S. BERAHINO,ST RED,ENGLAND,180,82,25,C,74
RWF,R. IBARRA,Free Agents,ECUADOR,174,69,27,C,74
CMF,T. SERERO,VITESSE,SOUTH AFRICA,172,62,28,C,74
RB,R. VAN RHIJN,AZ,NETHERLANDS,180,72,27,C,74
RWF,KELVIN,VASCO DA GAMA,BRAZIL,175,72,25,C,74
RB,P. VAN ANHOLT,NAC BREDA,NETHERLANDS,170,71,27,C,74
CB,VARELA,PAOK,CAPE VERDE,182,83,31,C,74
LB,L. MELGAREJO,SPARTAK MOSKVA,PARAGUAY,178,72,28,C,74
CB,MARCELO,SPORTING CP,BRAZIL,182,74,29,C,74
GK,FABIANO,PORTO,BRAZIL,197,92,30,C,74
DMF,G. MANIATIS,ALANYASPOR,GREECE,175,68,32,C,74
DMF,A. SISSOKO,AKHİSARSPOR,FRANCE,180,68,28,C,74
RB,L. ABECASIS,GODOY CRUZ,ARGENTINA,175,74,28,C,74
CB,M. WAGUÉ,UDINESE,MALI,191,87,27,C,74
CB,A. SOUMAORO,LILLE,FRANCE,186,93,26,C,74

RB,D. FOULQUIER,MD COBALT BLUE,FRANCE,183,78,25,C,74
LMF,J. MCCLEAN,ST RED,IRELAND,180,70,29,C,74
LMF,A. KAČANIKLIĆ,NANTES,SWEDEN,181,72,27,C,74
LMF,P. M'POKU,STANDARD LIÈGE,CONGO DR,177,80,26,C,74
DMF,S. MEÏTÉ,TORINO,FRANCE,187,80,24,C,74
CB,B. KONÉ,ANKARAGÜCÜ,BURKINA FASO,188,80,30,C,74
AMF,J. HUŠBAUER,SLAVIA PRAHA,CZECH REPUBLIC,182,72,28,C,74
LMF,J. SÁNCHEZ MIÑO,INDEPENDIENTE,ARGENTINA,177,78,28,C,74
DMF,S. PEETERS,CAEN,BELGIUM,178,77,26,C,74
CF,J. POHJANPALO,BAYER LEVERKUSEN,FINLAND,185,83,24,C,74
CB,BIGAS,PV BLUE RED,SPAIN,180,78,28,C,74
CB,K. OMERUO,MD BLUE WHITE,NIGERIA,185,82,25,C,74
RB,M. ZEFFANE,RENNES,ALGERIA,176,71,26,C,74
CMF,J. FERRI,OLYMPIQUE LYONNAIS,FRANCE,172,70,26,C,74
CB,GÁLVEZ,MD SCARLET WHITE,SPAIN,188,79,29,C,74
CMF,J. HOWSON,TEESSIDE,ENGLAND,180,77,30,C,74
RWF,L. SLAGVEER,EMMEN,NETHERLANDS,181,76,25,C,74
DMF,LUIZ ANTÔNIO,CHAPECOENSE,BRAZIL,184,73,27,C,74
DMF,A. RIVAS,AMÉRICA DE CALI,COLOMBIA,178,73,34,C,74
CB,D. BRAGHIERI,ATLÉTICO NACIONAL,ARGENTINA,186,80,31,C,74
DMF,RÔMULO,FLAMENGO,BRAZIL,187,82,28,C,74
LB,F. DÍAZ,Free Agents,COLOMBIA,170,72,35,C,74
CB,G. GÓMEZ,Free Agents,PARAGUAY,185,85,25,C,74
CF,G. CANO,INDEPENDIENTE MEDELLÍN,ARGENTINA,174,72,30,B,74
LWF,G. BUENO,COLÓN,URUGUAY,175,71,25,C,74
RWF,SHIKABALA,Free Agents,EGYPT,183,77,32,C,74
CB,S. SUNZU,METZ,ZAMBIA,189,89,29,C,74
AMF,JEAN MOTA,SANTOS,BRAZIL,172,72,25,C,74
DMF,WILLIAN ARÃO,FLAMENGO,BRAZIL,181,74,26,C,74
DMF,FILIPE AUGUSTO,ALANYASPOR,BRAZIL,182,76,25,C,74
LB,UENDEL,INTERNACIONAL,BRAZIL,179,73,30,C,74
DMF,RENÊ JÚNIOR,CORINTHIANS,BRAZIL,181,75,29,C,74

AMF,RICARDINHO,CEARÁ,BRAZIL,175,64,33,C,74
CF,BRUNO MOREIRA,RIO AVE,PORTUGAL,185,79,31,C,74
CF,N. GHILAS,GÖZTEPE,ALGERIA,183,75,28,C,74
LB,F. N'SAKALA,ALANYASPOR,FRANCE,178,69,28,C,74
